[21-23-54-155] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-35-28-116] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-40-42-166] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-44-08-900] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-48-19-946] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-50-49-746] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-50-52-293] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-50-59-026] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-54-56-485] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-55-14-670] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-57-16-684] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-57-36-299] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-59-06-588] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[20-59-49-734] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-59-50-623] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-02-39-788] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[22-02-42-357] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-03-28-326] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[22-03-29-196] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-05-23-149] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[22-05-24-111] Warning : Access is not authorized by the badge (ref(badge, access rights, John Michael));
[21-13-23-940] Access : John Michael (student) has accessed classroom;
[22-13-24-837] Access : John Michael (student) has accessed classroom;
